,Age,Attrition,BusinessTravel,EducationField,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
98,58,No,Travel_Rarely,Medical,4,3,Sales Executive,3,Single,0,No,38,1,37,10,8
99,44,No,Non-Travel,Medical,2,3,Laboratory Technician,2,Married,4,No,17,3,3,2,2
100,37,Yes,Travel_Rarely,Human Resources,3,3,Human Resources,1,Divorced,4,Yes,7,3,3,2,2
101,32,No,Travel_Rarely,Life Sciences,4,3,Research Scientist,1,Single,1,No,1,2,1,0,0
102,20,Yes,Travel_Frequently,Life Sciences,4,2,Laboratory Technician,4,Single,1,Yes,1,5,1,0,0
103,34,No,Travel_Rarely,Other,1,3,Research Scientist,3,Single,1,No,16,3,16,13,10
104,37,No,Non-Travel,Life Sciences,3,2,Healthcare Representative,4,Divorced,5,No,17,2,1,0,0
105,59,No,Non-Travel,Human Resources,3,2,Manager,4,Married,9,No,30,3,3,2,2
106,50,No,Travel_Frequently,Life Sciences,1,3,Research Director,2,Married,3,Yes,28,1,8,3,7
107,25,Yes,Travel_Rarely,Marketing,3,2,Sales Executive,3,Single,1,Yes,6,1,6,4,3
108,25,No,Travel_Rarely,Medical,4,2,Research Scientist,4,Married,1,No,2,2,2,2,1
109,22,No,Travel_Rarely,Medical,2,3,Laboratory Technician,4,Single,1,No,1,5,0,0,0
110,51,No,Travel_Frequently,Medical,1,2,Healthcare Representative,1,Single,3,No,23,1,13,12,8
111,34,Yes,Travel_Frequently,Life Sciences,1,1,Laboratory Technician,3,Single,1,Yes,9,3,9,7,6
112,54,No,Non-Travel,Human Resources,4,4,Manager,4,Single,2,Yes,23,3,5,3,4
113,24,No,Travel_Rarely,Life Sciences,2,3,Laboratory Technician,3,Married,0,No,6,2,5,3,2
114,34,No,Travel_Rarely,Life Sciences,3,2,Research Scientist,2,Divorced,6,No,12,3,1,0,0
115,37,No,Travel_Rarely,Life Sciences,3,3,Sales Executive,4,Single,2,No,12,3,5,3,3
116,34,No,Travel_Rarely,Medical,3,2,Manager,1,Single,2,No,14,6,11,10,8
117,36,No,Travel_Frequently,Technical Degree,2,3,Sales Executive,4,Married,0,No,10,6,9,7,8
118,36,No,Travel_Rarely,Life Sciences,1,3,Laboratory Technician,4,Divorced,5,No,7,2,1,0,0
119,43,No,Travel_Frequently,Life Sciences,3,3,Manager,4,Married,1,Yes,25,3,25,12,12
120,30,No,Travel_Frequently,Life Sciences,1,1,Research Scientist,3,Divorced,1,No,10,2,10,7,9
121,33,No,Non-Travel,Marketing,3,3,Sales Executive,2,Married,0,No,8,2,7,7,7
122,56,Yes,Travel_Rarely,Life Sciences,2,3,Research Scientist,2,Married,9,Yes,7,2,5,4,3
123,51,No,Travel_Rarely,Life Sciences,1,3,Research Director,3,Single,7,No,23,5,20,18,15
124,31,Yes,Travel_Rarely,Life Sciences,2,1,Sales Executive,3,Married,4,Yes,12,3,7,7,7
125,26,No,Travel_Rarely,Other,3,2,Research Scientist,2,Married,1,No,5,3,5,4,3
126,58,Yes,Travel_Rarely,Medical,4,3,Healthcare Representative,4,Married,1,No,40,3,40,10,6
127,19,Yes,Travel_Rarely,Marketing,4,3,Sales Representative,3,Single,1,Yes,0,2,0,0,0
128,22,No,Travel_Rarely,Technical Degree,3,3,Laboratory Technician,4,Married,0,No,3,2,2,1,1
129,49,No,Travel_Rarely,Medical,3,3,Manufacturing Director,1,Married,1,No,16,2,15,11,11
130,43,No,Travel_Frequently,Medical,2,4,Research Scientist,3,Single,4,No,18,2,3,2,2
131,50,No,Travel_Frequently,Marketing,3,3,Sales Executive,4,Single,4,No,16,3,2,2,1
132,31,Yes,Travel_Rarely,Life Sciences,2,1,Sales Executive,3,Married,3,Yes,4,2,2,2,2
133,41,No,Travel_Rarely,Life Sciences,3,3,Sales Executive,3,Divorced,3,Yes,12,2,9,7,7
134,26,No,Travel_Rarely,Life Sciences,3,3,Human Resources,3,Married,1,No,8,3,8,7,7
135,36,No,Travel_Rarely,Medical,2,3,Manufacturing Director,2,Divorced,6,No,7,0,3,2,1
136,51,Yes,Travel_Frequently,Life Sciences,1,1,Manufacturing Director,4,Single,2,No,18,2,4,2,3
137,39,No,Travel_Rarely,Life Sciences,4,2,Sales Executive,3,Married,4,No,17,1,15,11,9
138,25,No,Travel_Rarely,Life Sciences,1,2,Sales Executive,3,Married,2,No,6,3,2,2,2
139,30,No,Travel_Rarely,Human Resources,3,3,Human Resources,4,Married,0,Yes,12,2,11,9,7
140,32,Yes,Travel_Rarely,Medical,1,3,Laboratory Technician,1,Single,7,No,10,2,5,4,4
141,45,No,Travel_Rarely,Medical,3,3,Research Scientist,4,Single,5,No,9,2,6,5,3
142,38,No,Travel_Rarely,Technical Degree,4,3,Research Scientist,3,Single,3,Yes,19,2,3,2,2
143,30,No,Travel_Rarely,Life Sciences,1,3,Research Scientist,3,Single,1,No,5,4,5,4,4
144,32,No,Travel_Frequently,Medical,4,1,Sales Executive,4,Divorced,0,No,9,2,8,7,7
145,30,No,Travel_Rarely,Technical Degree,4,3,Research Scientist,1,Divorced,5,No,8,3,3,2,2
146,30,No,Travel_Rarely,Medical,2,2,Laboratory Technician,4,Single,0,No,6,3,5,3,2
147,41,No,Travel_Frequently,Life Sciences,4,2,Manager,1,Divorced,4,No,21,2,7,6,7
148,41,No,Travel_Rarely,Life Sciences,3,3,Laboratory Technician,1,Married,2,No,7,2,5,0,4
149,19,No,Travel_Rarely,Medical,2,3,Laboratory Technician,2,Single,1,No,1,3,1,0,0
150,40,No,Travel_Frequently,Medical,2,3,Research Scientist,2,Divorced,1,No,20,2,20,7,13
151,35,No,Travel_Rarely,Marketing,3,3,Sales Executive,2,Married,1,No,10,3,10,8,6
152,53,No,Travel_Rarely,Marketing,2,3,Sales Representative,3,Married,2,Yes,13,3,7,7,5
153,45,No,Travel_Rarely,Life Sciences,2,3,Laboratory Technician,2,Divorced,8,No,20,2,17,9,15
154,32,No,Travel_Frequently,Marketing,2,3,Sales Executive,4,Single,1,No,9,2,9,8,7
155,29,No,Non-Travel,Technical Degree,4,3,Manufacturing Director,3,Married,1,No,10,1,10,7,9
156,51,No,Travel_Rarely,Medical,2,2,Manufacturing Director,3,Married,2,No,10,2,1,0,0
157,58,No,Travel_Rarely,Medical,2,2,Research Scientist,2,Married,4,Yes,9,3,1,0,0
158,40,No,Travel_Rarely,Marketing,3,2,Sales Executive,4,Married,7,No,15,2,12,11,11
159,34,No,Travel_Frequently,Marketing,3,3,Sales Representative,3,Married,6,No,6,3,4,3,2
160,22,No,Travel_Rarely,Medical,3,3,Research Scientist,4,Married,1,No,2,6,2,2,2
161,27,No,Non-Travel,Medical,4,3,Research Scientist,2,Divorced,6,No,6,1,2,2,2
162,28,No,Travel_Rarely,Medical,3,3,Research Scientist,4,Married,1,No,5,2,5,2,2
163,57,No,Travel_Rarely,Life Sciences,3,4,Healthcare Representative,4,Divorced,3,Yes,12,2,5,3,4
164,27,No,Non-Travel,Medical,3,2,Research Scientist,3,Divorced,1,Yes,1,2,1,1,1
165,50,No,Travel_Rarely,Life Sciences,3,3,Manager,2,Single,3,No,21,5,5,4,4
166,41,No,Travel_Rarely,Life Sciences,1,3,Research Scientist,3,Divorced,4,No,13,2,9,8,8
167,30,No,Travel_Rarely,Life Sciences,2,3,Sales Executive,4,Married,2,No,12,2,10,9,4
168,38,No,Travel_Rarely,Life Sciences,1,2,Sales Executive,4,Single,4,No,12,2,8,3,7
169,32,No,Travel_Rarely,Life Sciences,3,3,Research Scientist,3,Single,3,No,8,2,5,4,4
170,27,No,Travel_Rarely,Technical Degree,3,3,Research Scientist,2,Married,0,Yes,6,3,5,2,1
171,19,Yes,Travel_Frequently,Technical Degree,3,1,Sales Representative,1,Single,0,No,1,5,0,0,0
172,36,No,Travel_Frequently,Medical,4,3,Laboratory Technician,2,Single,4,No,13,3,8,7,2
173,30,No,Non-Travel,Medical,3,3,Laboratory Technician,1,Divorced,1,No,12,4,12,9,10
174,45,No,Travel_Rarely,Life Sciences,3,3,Sales Executive,1,Divorced,4,Yes,9,3,5,4,3
175,56,No,Travel_Rarely,Life Sciences,3,3,Research Scientist,1,Divorced,4,Yes,19,3,2,2,2
176,33,No,Travel_Rarely,Life Sciences,3,3,Research Scientist,4,Single,0,No,4,2,3,1,2
177,19,Yes,Travel_Rarely,Life Sciences,2,2,Laboratory Technician,4,Single,1,No,1,3,1,0,0
178,46,No,Travel_Rarely,Marketing,2,3,Sales Executive,1,Divorced,1,No,24,2,24,13,7
179,38,No,Travel_Rarely,Life Sciences,3,3,Laboratory Technician,4,Single,1,No,2,3,2,2,1
180,31,No,Travel_Rarely,Medical,3,3,Research Scientist,4,Married,8,Yes,7,0,4,2,2
181,34,No,Travel_Rarely,Medical,4,3,Research Scientist,2,Single,2,No,9,3,3,2,2
182,41,Yes,Travel_Rarely,Marketing,2,3,Sales Representative,2,Single,1,Yes,4,5,4,3,2
183,50,No,Travel_Rarely,Medical,3,2,Laboratory Technician,3,Married,2,No,5,2,3,2,2
184,53,No,Travel_Rarely,Medical,4,4,Manufacturing Director,1,Divorced,1,No,5,3,4,2,3
185,33,No,Travel_Rarely,Medical,4,3,Research Scientist,2,Married,1,No,8,5,8,7,6
186,40,No,Travel_Rarely,Medical,4,3,Manager,3,Married,1,No,21,2,20,8,9
187,55,No,Travel_Rarely,Medical,3,4,Research Director,2,Single,8,No,36,3,24,15,15
188,34,No,Travel_Frequently,Life Sciences,4,2,Manufacturing Director,3,Married,1,No,10,2,10,9,9
189,51,No,Travel_Rarely,Medical,4,3,Healthcare Representative,2,Single,3,No,21,6,7,7,0
190,52,No,Travel_Rarely,Life Sciences,3,2,Manager,3,Married,0,No,34,5,33,18,9
191,27,No,Travel_Rarely,Medical,4,3,Research Scientist,2,Single,1,No,7,2,7,7,3
192,35,Yes,Travel_Rarely,Life Sciences,2,2,Manufacturing Director,3,Married,3,Yes,8,1,1,0,1
193,43,No,Non-Travel,Medical,4,4,Research Scientist,4,Divorced,4,No,7,3,5,4,2
194,45,No,Non-Travel,Medical,1,2,Manager,4,Married,9,No,22,1,20,8,8
195,37,No,Travel_Rarely,Life Sciences,2,4,Research Scientist,1,Married,1,Yes,8,3,8,7,7
196,35,No,Travel_Frequently,Medical,2,3,Laboratory Technician,2,Single,5,No,10,5,6,2,2
197,42,No,Non-Travel,Medical,3,3,Manufacturing Director,3,Divorced,2,No,11,5,5,3,2
198,38,No,Travel_Rarely,Life Sciences,4,3,Manufacturing Director,3,Married,9,No,14,3,1,0,0
199,38,No,Travel_Rarely,Technical Degree,4,3,Manufacturing Director,4,Married,3,No,9,3,7,7,7
200,27,No,Travel_Frequently,Technical Degree,3,2,Manufacturing Director,1,Married,5,No,6,1,2,2,0
201,49,No,Non-Travel,Life Sciences,4,3,Manufacturing Director,4,Divorced,1,Yes,7,0,7,7,7
202,34,No,Travel_Frequently,Medical,4,3,Research Scientist,3,Divorced,1,Yes,5,4,5,3,0
203,40,No,Travel_Rarely,Medical,3,3,Laboratory Technician,4,Married,8,Yes,15,2,7,2,7
204,38,Yes,Travel_Rarely,Medical,2,3,Healthcare Representative,1,Married,7,Yes,17,2,1,0,0
205,29,Yes,Travel_Rarely,Marketing,2,3,Sales Executive,4,Married,1,No,10,3,10,4,9
206,22,No,Travel_Rarely,Life Sciences,4,4,Research Scientist,2,Divorced,1,Yes,4,2,4,2,2
207,36,No,Travel_Frequently,Medical,2,3,Laboratory Technician,4,Single,1,No,8,2,8,1,7
208,40,No,Non-Travel,Life Sciences,4,2,Healthcare Representative,4,Married,9,No,5,5,3,2,2
209,46,No,Travel_Rarely,Medical,4,3,Healthcare Representative,1,Divorced,7,No,17,3,4,2,3
210,32,Yes,Travel_Rarely,Medical,4,1,Sales Executive,4,Married,1,No,14,2,14,8,8
211,30,No,Non-Travel,Life Sciences,3,2,Manufacturing Director,3,Single,1,No,12,2,11,8,8
212,27,No,Travel_Frequently,Life Sciences,4,3,Sales Executive,3,Single,1,No,7,2,7,7,7
213,51,No,Travel_Rarely,Life Sciences,2,2,Research Director,2,Married,5,No,16,5,10,9,7
214,30,Yes,Travel_Rarely,Technical Degree,4,3,Research Scientist,1,Single,5,Yes,8,5,5,2,4
215,41,No,Travel_Rarely,Life Sciences,4,3,Manager,4,Single,3,Yes,16,3,1,0,0
216,30,Yes,Travel_Frequently,Marketing,3,2,Sales Executive,1,Single,5,No,9,5,6,3,1
217,29,Yes,Travel_Rarely,Technical Degree,3,3,Research Scientist,3,Single,0,No,7,1,6,2,5
218,45,No,Non-Travel,Medical,4,2,Sales Executive,4,Single,6,No,23,2,19,7,8
219,54,No,Travel_Rarely,Marketing,4,3,Sales Executive,1,Married,2,No,16,4,6,2,5
220,36,No,Travel_Rarely,Life Sciences,4,3,Laboratory Technician,2,Single,8,No,16,3,13,11,7
221,33,No,Travel_Rarely,Medical,3,2,Research Scientist,2,Married,6,No,7,3,3,2,1
222,37,No,Travel_Frequently,Other,2,3,Research Director,4,Divorced,1,Yes,10,1,10,8,7
223,38,No,Travel_Rarely,Life Sciences,1,3,Sales Executive,3,Divorced,0,No,17,6,16,10,13
224,31,No,Non-Travel,Medical,3,1,Manufacturing Director,3,Married,0,No,6,2,5,4,4
225,59,No,Travel_Rarely,Life Sciences,3,2,Research Scientist,4,Married,3,No,7,6,1,0,0
226,37,No,Travel_Frequently,Marketing,1,3,Sales Representative,4,Divorced,4,No,13,2,9,8,8
227,29,No,Travel_Frequently,Medical,2,3,Sales Executive,4,Married,1,No,11,5,11,10,1
228,35,No,Travel_Frequently,Marketing,3,3,Sales Executive,3,Single,1,No,10,3,10,7,8
229,29,Yes,Travel_Rarely,Medical,3,2,Research Scientist,4,Single,1,Yes,4,3,4,3,1
230,52,No,Travel_Rarely,Life Sciences,3,2,Laboratory Technician,4,Single,7,No,6,3,2,2,2
231,42,No,Travel_Rarely,Technical Degree,3,3,Manager,4,Married,1,No,22,3,22,17,15
232,59,No,Travel_Rarely,Medical,2,3,Human Resources,3,Married,8,No,7,2,2,2,2
233,50,No,Travel_Rarely,Medical,4,3,Manager,4,Divorced,3,No,32,3,7,0,6
234,33,Yes,Travel_Rarely,Medical,3,3,Laboratory Technician,4,Married,5,Yes,8,2,5,4,4
235,43,No,Travel_Rarely,Marketing,4,3,Manager,4,Married,5,Yes,22,3,17,13,9
236,33,Yes,Travel_Rarely,Life Sciences,1,3,Laboratory Technician,1,Married,7,No,13,3,9,7,7
237,52,No,Non-Travel,Life Sciences,1,2,Manager,3,Single,1,Yes,33,2,33,7,12
238,32,No,Travel_Rarely,Life Sciences,3,3,Sales Representative,2,Married,2,No,6,5,4,3,2
239,32,Yes,Travel_Rarely,Life Sciences,4,2,Laboratory Technician,3,Single,0,Yes,4,2,3,2,2
240,39,No,Travel_Rarely,Medical,3,3,Laboratory Technician,3,Divorced,7,No,7,1,3,2,2
241,32,No,Non-Travel,Marketing,3,3,Sales Executive,4,Married,0,No,4,2,3,2,2
242,41,No,Travel_Rarely,Life Sciences,3,3,Research Scientist,1,Divorced,2,No,17,2,1,0,0
243,40,No,Travel_Rarely,Technical Degree,1,3,Research Scientist,4,Divorced,1,No,9,3,9,8,7
244,45,No,Travel_Rarely,Other,3,4,Manager,4,Married,0,No,25,2,24,0,7
245,31,No,Travel_Frequently,Medical,2,3,Research Director,3,Divorced,9,No,9,3,2,2,2
246,33,No,Travel_Rarely,Life Sciences,3,2,Research Scientist,4,Married,1,No,2,2,2,2,2
247,34,No,Travel_Rarely,Life Sciences,4,2,Manufacturing Director,1,Married,6,No,13,3,11,9,9
248,37,No,Travel_Rarely,Medical,3,2,Research Scientist,1,Married,2,No,17,2,3,1,2
249,45,No,Travel_Frequently,Life Sciences,1,4,Manufacturing Director,3,Married,4,No,9,1,3,2,2
250,37,Yes,Travel_Frequently,Medical,1,3,Manufacturing Director,3,Divorced,6,No,17,5,1,0,0
251,39,No,Travel_Frequently,Technical Degree,3,3,Healthcare Representative,3,Single,0,No,20,1,19,6,8
252,29,No,Travel_Rarely,Life Sciences,3,3,Research Scientist,4,Single,1,No,6,1,6,5,5
253,42,No,Travel_Rarely,Life Sciences,4,4,Research Scientist,1,Single,3,Yes,10,1,3,2,2
254,29,No,Travel_Rarely,Marketing,4,3,Sales Executive,4,Divorced,2,No,10,2,3,2,2
255,25,No,Travel_Rarely,Life Sciences,1,3,Manufacturing Director,3,Married,0,No,5,3,4,2,2
256,42,No,Travel_Rarely,Medical,4,2,Laboratory Technician,1,Divorced,0,Yes,10,4,9,6,8
257,40,No,Travel_Rarely,Medical,1,3,Research Director,3,Divorced,0,No,22,5,21,7,9
258,51,No,Travel_Rarely,Life Sciences,3,3,Research Scientist,4,Married,1,No,1,0,1,0,0
259,31,Yes,Travel_Frequently,Medical,3,2,Laboratory Technician,2,Single,0,No,6,2,5,4,4
260,32,No,Travel_Frequently,Life Sciences,2,4,Laboratory Technician,2,Married,1,No,5,3,5,1,3
261,38,No,Non-Travel,Life Sciences,4,2,Sales Executive,4,Married,3,No,13,0,8,7,5
262,32,No,Travel_Rarely,Technical Degree,4,2,Laboratory Technician,1,Single,4,No,9,5,6,2,4
